municipality,municipality_geojson,district,section1,section2,section3,section4,section5,section6,excluded,total
Tielt,Tielt,Kanegem,,,,26,,,1,27
Tielt,Tielt,Schuiferskapelle,,,,,,,18,18
Tielt,Tielt,Tielt,,,,203,,,30,233
Torhout,Torhout,Torhout,,,,,21,,165,186
Torhout,Torhout,Wijnendale,,,,,,,15,15
Veurne,Veurne,Avekapelle,,,,,,,6,6
Veurne,Veurne,Beauvoorde,,,,,,,21,21
Veurne,Veurne,Booitshoeke,,,,,,,3,3
Veurne,Veurne,Bulskamp,,,,,,,11,11
Veurne,Veurne,De Moeren,,,,,,,10,10
Veurne,Veurne,Eggewaartskapelle,,,,,,,6,6
Veurne,Veurne,Houtem,,,,,,,12,12
Veurne,Veurne,Steenkerke,,,,,,,47,47
Veurne,Veurne,Veurne,,,,,,,142,142
Veurne,Veurne,Zoutenaaie,,,,,,,1,1
Vleteren,Vleteren,Oostvleteren,,,,,,,24,24
Vleteren,Vleteren,Westvleteren,,,,,,,28,28
Vleteren,Vleteren,Woesten,,,,,,,15,15
Waregem,Waregem,Beveren-Leie,,,,74,,,,74
Waregem,Waregem,Desselgem,,,,53,,,18,71
Waregem,Waregem,Sint-Eloois-Vijve,,,,2,,,56,58
Waregem,Waregem,Waregem,,,,72,,,242,314
Wervik,Wervik,Geluwe,,,,,,,81,81
Wervik,Wervik,Wervik,,,,,,,115,115
Wevelgem,Wevelgem,Gullegem,,,,,,,108,108
Wevelgem,Wevelgem,Moorsele,,,,,,,88,88
Wevelgem,Wevelgem,Wevelgem,,,,,,,165,165
Wielsbeke,Wielsbeke,Ooigem,,,,5,,,34,39
Wielsbeke,Wielsbeke,Sint-Baafs-Vijve,,,,,,,47,47
Wielsbeke,Wielsbeke,Wielsbeke,,,,,,,71,71
Wingene,Wingene,Wingene,,,,,1,,136,137
Wingene,Wingene,Zwevezele,,,,,102,,,102
Zedelgem,Zedelgem,Aartrijke,,,,,69,,,69
Zedelgem,Zedelgem,Loppem,,,,,34,,9,43
Zedelgem,Zedelgem,Veldegem,,,,,35,,,35
Zedelgem,Zedelgem,Zedelgem,,,,,88,,,88
Zonnebeke,Zonnebeke,Beselare,,,,,,,41,41
Zonnebeke,Zonnebeke,Geluveld,,,,,,,25,25
Zonnebeke,Zonnebeke,Passendale,,,,,,,67,67
Zonnebeke,Zonnebeke,Zandvoorde,,,,,,,10,10
Zonnebeke,Zonnebeke,Zonnebeke,,,,,,,60,60
Zuienkerke,Zuienkerke,Houtave,,,,,,,13,13
Zuienkerke,Zuienkerke,Meetkerke,,,,,,,10,10
Zuienkerke,Zuienkerke,Nieuwmunster,,,,,,,8,8
Zuienkerke,Zuienkerke,Zuienkerke,,,,,,,18,18
Zwevegem,Zwevegem,Heestert,,,,,,,45,45
Zwevegem,Zwevegem,Moen,,,,,,,45,45
Zwevegem,Zwevegem,Otegem,,,,,,,32,32
Zwevegem,Zwevegem,Sint-Denijs,,,,,,,36,36
Zwevegem,Zwevegem,Zwevegem,,,,,,,129,129
