municipality,municipality_geojson,district,section1,section2,section3,section4,section5,section6,excluded,total
Hensies,Hensies,Thulin,,,,,18,,,18
Honnelles,Honnelles,Angre,,,,,6,,,6
Honnelles,Honnelles,Angreau,,,,,6,,,6
Honnelles,Honnelles,Athis,,,,,8,,,8
Honnelles,Honnelles,Autreppe,,,,,4,,,4
Honnelles,Honnelles,Erquennes,,,,,11,,,11
Honnelles,Honnelles,Fayt-le-Franc,,,,,2,,,2
Honnelles,Honnelles,Marchipont,,,,,2,,,2
Honnelles,Honnelles,Montignies-sur-Roc,,,,,4,,,4
Honnelles,Honnelles,Onnezies,,,,,2,,,2
Honnelles,Honnelles,Roisin,,,,,21,,,21
Jurbise,Jurbise,Erbaut,,,,,5,,,5
Jurbise,Jurbise,Erbisoeul,,,,,15,,,15
Jurbise,Jurbise,Herchies,,,,,32,,,32
Jurbise,Jurbise,Jurbise,,,,,19,,,19
Jurbise,Jurbise,Masnuy-Saint-Jean,,,,,24,,,24
Jurbise,Jurbise,Masnuy-Saint-Pierre,,,,,7,,,7
La Louvière,La Louvière,Besonrieux,,,7,,,,6,13
La Louvière,La Louvière,Boussoit,,7,,,,,,7
La Louvière,La Louvière,Haine-Saint-Paul,,11,,,,,26,37
La Louvière,La Louvière,Haine-Saint-Pierre,,21,,,,,12,33
La Louvière,La Louvière,Houdeng-Aimeries,,13,,,,,21,34
La Louvière,La Louvière,Houdeng-Goegnies,,1,,,,,53,54
La Louvière,La Louvière,La Louvière,,7,2,,,,100,109
La Louvière,La Louvière,Maurage,,26,,,,,,26
La Louvière,La Louvière,Saint-Vaast,,1,,,,,30,31
La Louvière,La Louvière,Strépy-Bracquegnies,,48,,,,,,48
La Louvière,La Louvière,Trivières,,18,,,,,2,20
Le Roeulx,Le Roeulx,Le Roeulx,,32,,,,,1,33
Le Roeulx,Le Roeulx,Mignault,,,1,,,,17,18
Le Roeulx,Le Roeulx,Thieu,,16,,,,,,16
Le Roeulx,Le Roeulx,Ville-sur-Haine,,27,,,,,,27
Lens,Lens,Bauffe,,,,,6,,,6
Lens,Lens,Cambron-Saint-Vincent,,,,,8,,,8
Lens,Lens,Lens,,,,,18,,,18
Lens,Lens,Lombise,,,,,7,,,7
Lens,Lens,Montignies-lez-Lens,,,,,12,,,12
Les Bons Villers,Les Bons Villers,Frasnes-lez-Gosselies,,,,25,,,,25
Les Bons Villers,Les Bons Villers,Mellet,,,,22,,,1,23
Les Bons Villers,Les Bons Villers,Rèves,,,,26,,,,26
Les Bons Villers,Les Bons Villers,Villers-Perwin,,,,10,,,,10
Les Bons Villers,Les Bons Villers,Wayaux,,,,3,,,7,10
Lessines,Lessines,Bois-de-Lessines,,,16,,,,,16
Lessines,Lessines,Deux-Acren,,,26,,,,2,28
Lessines,Lessines,Ghoy,,,10,,,,,10
Lessines,Lessines,Lessines,,,47,,,,,47
Lessines,Lessines,Ogy,1,,9,,,,,10
Lessines,Lessines,Ollignies,,,15,,,,,15
Lessines,Lessines,Papignies,6,,8,,,,,14
Leuze-en-Hainaut,Leuze-en-Hainaut,Blicquy,,,,,5,,,5
Leuze-en-Hainaut,Leuze-en-Hainaut,Chapelle-à-Oie,3,,,,1,,,4
Leuze-en-Hainaut,Leuze-en-Hainaut,Chapelle-à-Wattines,13,,,,,,,13
Leuze-en-Hainaut,Leuze-en-Hainaut,Gallaix,3,,,,,,,3
Leuze-en-Hainaut,Leuze-en-Hainaut,Grandmetz,9,,,,,,,9
Leuze-en-Hainaut,Leuze-en-Hainaut,Leuze,47,,,,1,,,48
Leuze-en-Hainaut,Leuze-en-Hainaut,Pipaix,10,,,,,,,10
Leuze-en-Hainaut,Leuze-en-Hainaut,Thieulain,15,,,,,,,15
Leuze-en-Hainaut,Leuze-en-Hainaut,Tourpes,,,,,9,,,9
Leuze-en-Hainaut,Leuze-en-Hainaut,Willaupuis,1,,,,2,,,3
Lobbes,Lobbes,Bienne-lez-Happart,,8,,,,,,8
Lobbes,Lobbes,Lobbes,,36,,,,,,36
Lobbes,Lobbes,Mont-Sainte-Geneviève,,15,,,,,,15
Lobbes,Lobbes,Sars-la-Buissière,,20,,,,,,20
Manage,Manage,Bellecourt,,13,,,,,,13
Manage,Manage,Bois-d'Haine,,21,6,,,,,27
Manage,Manage,Fayt-lez-Manage,,29,,,,,,29
Manage,Manage,La Hestre,,19,,,,,,19
Manage,Manage,Manage,,28,27,,,,,55
Merbes-le-Château,Merbes-le-Château,Fontaine-Valmont,,15,,,,,,15
Merbes-le-Château,Merbes-le-Château,Labuissière,,11,,,,,,11
Merbes-le-Château,Merbes-le-Château,Merbes-le-Château,,12,,,,,,12
Merbes-le-Château,Merbes-le-Château,Merbes-Sainte-Marie,,10,,,,,,10
Momignies,Momignies,Beauwelz,,,,,,,,0
Momignies,Momignies,Forge-Philippe,,,,,,,,0
Momignies,Momignies,Macon,,,,,,,,0
Momignies,Momignies,Macquenoise,,,,,,,,0
Momignies,Momignies,Momignies,,,,,,,,0
Momignies,Momignies,Monceau-Imbrechies,,,,,,,,0
Momignies,Momignies,Seloignes,,,,,,,,0
Mons,Mons,Ciply,,4,,,,,,4
Mons,Mons,Cuesmes,,22,,,,,22,44
Mons,Mons,Flénu,,,,,16,,6,22
Mons,Mons,Ghlin,,7,,,9,,40,56
Mons,Mons,Harmignies,,10,,,,,,10
Mons,Mons,Harveng,,5,,,,,,5
Mons,Mons,Havré,,35,,,,,,35
Mons,Mons,Hyon,,20,,,,,1,21
Mons,Mons,Jemappes,,4,,,,,36,40
Mons,Mons,Maisières,,,,,7,,15,22
Mons,Mons,Mesvin,,8,,,,,,8
Mons,Mons,Mons,,110,,,,,153,263
Mons,Mons,Nimy,,21,,,,,3,24
Mons,Mons,Nouvelles,,4,,,,,,4
Mons,Mons,Obourg,,22,,,,,6,28
Mons,Mons,Saint-Symphorien,,24,,,,,,24
Mons,Mons,Spiennes,,3,,,,,,3
Mons,Mons,Villers-Saint-Ghislain,,4,,,,,,4
Mont-de-l'Enclus,Mont-de-l'Enclus,Amougies,,,,,,,21,21
Mont-de-l'Enclus,Mont-de-l'Enclus,Anseroeul,,,,,,,17,17
Mont-de-l'Enclus,Mont-de-l'Enclus,Orroir,,,,,,,12,12
Mont-de-l'Enclus,Mont-de-l'Enclus,Russeignies,,,,,,,7,7
Montigny-le-Tilleul,Montigny-le-Tilleul,Landelies,,,,,,,12,12
Montigny-le-Tilleul,Montigny-le-Tilleul,Montigny-le-Tilleul,,,,,,2,66,68
Morlanwelz,Morlanwelz,Carnières,,41,,,,,1,42
Morlanwelz,Morlanwelz,Mont-Sainte-Aldegonde,,,,,,,10,10
Morlanwelz,Morlanwelz,Morlanwelz-Mariemont,,55,,,,,2,57
Mouscron,Mouscron,Dottignies,150,,,,,,30,180
Mouscron,Mouscron,Herseaux,21,,,,,,45,66
Mouscron,Mouscron,Luingne,,,,,,,56,56
Mouscron,Mouscron,Mouscron,,,,,,,300,300
Pecq,Pecq,Esquelmes,4,,,,,,,4
Pecq,Pecq,Hérinnes,2,,,,,,10,12
Pecq,Pecq,Obigies,,,,,,,5,5
Pecq,Pecq,Pecq,61,,,,,,,61
Pecq,Pecq,Warcoing,25,,,,,,,25
Péruwelz,Péruwelz,Baugnies,3,,,,,,,3
Péruwelz,Péruwelz,Bon-Secours,,,,,10,,,10
Péruwelz,Péruwelz,Braffe,2,,,,1,,,3
Péruwelz,Péruwelz,Brasmenil,3,,,,,,,3
Péruwelz,Péruwelz,Bury,4,,,,4,,,8
Péruwelz,Péruwelz,Callenelle,5,,,,,,,5
Péruwelz,Péruwelz,Péruwelz,1,,,,65,,,66
Péruwelz,Péruwelz,Roucourt,7,,,,1,,,8
Péruwelz,Péruwelz,Wasmes-Audemez-Briffoeil,6,,,,,,,6
Péruwelz,Péruwelz,Wiers,3,,,,16,,,19
Pont-à-Celles,Pont-à-Celles,Buzet,,,1,11,,,,12
Pont-à-Celles,Pont-à-Celles,Luttre,,,,24,,,,24
Pont-à-Celles,Pont-à-Celles,Obaix,,,,10,,,,10
Pont-à-Celles,Pont-à-Celles,Pont-à-Celles,,,,36,,,,36
Pont-à-Celles,Pont-à-Celles,Thiméon,,,,18,,1,,19
Pont-à-Celles,Pont-à-Celles,Viesville,,,,13,,3,,16
Quaregnon,Quaregnon,Quaregnon,,,,,31,,36,67
Quaregnon,Quaregnon,Wasmuel,,,,,,,13,13
Quévy,Quévy,Asquillies,,3,,,,,,3
Quévy,Quévy,Aulnois,,1,,,11,,,12
Quévy,Quévy,Blaregnies,,2,,,12,,,14
Quévy,Quévy,Bougnies,,6,,,,,,6
Quévy,Quévy,Genly,,8,,,,,,8
Quévy,Quévy,Givry,,31,,,,,,31
Quévy,Quévy,Goegnies-Chaussée,,7,,,,,,7
Quévy,Quévy,Havay,,10,,,,,,10
Quévy,Quévy,Quévy-le-Grand,,15,,,1,,,16
Quévy,Quévy,Quévy-le-Petit,,13,,,,,,13
Quiévrain,Quiévrain,Audregnies,,,,,9,,,9
Quiévrain,Quiévrain,Baisieux,,,,,12,,,12
Quiévrain,Quiévrain,Quiévrain,,,,,36,,,36
Rumes,Rumes,La Glanerie,7,,,,,,,7
Rumes,Rumes,Rumes,14,,,,,,,14
Rumes,Rumes,Taintignies,21,,,,,,,21
Saint-Ghislain,Saint-Ghislain,Baudour,,,,,22,,25,47
Saint-Ghislain,Saint-Ghislain,Hautrage,,,,,21,,1,22
Saint-Ghislain,Saint-Ghislain,Neufmaison,,,,,5,,,5
Saint-Ghislain,Saint-Ghislain,Saint-Ghislain,,,,,,,33,33
Saint-Ghislain,Saint-Ghislain,Sirault,,,,,38,,,38
Saint-Ghislain,Saint-Ghislain,Tertre,,,,,,,30,30
Saint-Ghislain,Saint-Ghislain,Villerot,,,,,6,,1,7
Seneffe,Seneffe,Arquennes,,,43,,,,,43
Seneffe,Seneffe,Familleureux,,,10,,,,4,14
Seneffe,Seneffe,Feluy,,,43,,,,,43
Seneffe,Seneffe,Petit-Roeulx-lez-Nivelles,,,10,,,,,10
Seneffe,Seneffe,Seneffe,,2,67,,,,,69
Silly,Silly,Bassilly,,,24,,,,,24
Silly,Silly,Fouleng,,,,,2,,,2
Silly,Silly,Gondregnies,,,1,,4,,,5
Silly,Silly,Graty,,,16,,,,,16
Silly,Silly,Hellebecq,,,9,,,,,9
Silly,Silly,Hoves,,,18,,,,,18
Silly,Silly,Silly,,,20,,,,,20
Silly,Silly,Thoricourt,,,1,,5,,,6
Sivry-Rance,Sivry-Rance,Grandrieu,,,16,,,,,16
Sivry-Rance,Sivry-Rance,Montbliart,,,10,,,,,10
Sivry-Rance,Sivry-Rance,Rance,,,24,,,,,24
Sivry-Rance,Sivry-Rance,Sautin,,,12,,,,,12
Sivry-Rance,Sivry-Rance,Sivry,,,27,,,,,27
Soignies,Soignies,Casteau,,2,,,18,,,20
Soignies,Soignies,Chaussée-Notre-Dame-Louvignies,,,,,17,,,17
Soignies,Soignies,Horrues,,,30,,1,,,31
Soignies,Soignies,Naast,,15,11,,,,2,28
Soignies,Soignies,Neufvilles,,,4,,35,,,39
Soignies,Soignies,Soignies,,2,88,,,,,90
Soignies,Soignies,Thieusies,,19,,,1,,,20
Thuin,Thuin,Biercée,,11,,,,,,11
Thuin,Thuin,Biesme-sous-Thuin,,,,,,9,,9
Thuin,Thuin,Donstiennes,,,,,,5,,5
Thuin,Thuin,Gozée,,12,,,,26,2,40
Thuin,Thuin,Leers-Et-Fosteau,,6,,,,,,6
Thuin,Thuin,Ragnies,,4,,,,2,,6
Thuin,Thuin,Thuillies,,,,,,21,,21
Thuin,Thuin,Thuin,,46,,,,,,46
Tournai,Tournai,Barry-Maulde,16,,,,,,,16
Tournai,Tournai,Beclers-Thimougies,18,,,,,,,18
Tournai,Tournai,Blandin-Hertain,29,,,,,,,29
Tournai,Tournai,Chercq,8,,,,,,,8
Tournai,Tournai,Esplechin,12,,,,,,,12
Tournai,Tournai,Froyennes,8,,,,,,21,29
Tournai,Tournai,Gaurain-Ramecroix,29,,,,,,,29
Tournai,Tournai,Havinnes,8,,,,,,5,13
Tournai,Tournai,Kain-Mont-Saint-Aubert,3,,,,,,59,62
Tournai,Tournai,Melles-Quartes,3,,,,,,3,6
Tournai,Tournai,Orcq-Marquain-Lamain,31,,,,,,,31
Tournai,Tournai,Ramegnies-Chin,6,,,,,,5,11
Tournai,Tournai,Rumillies-Mourcourt,,,,,,,24,24
Tournai,Tournai,Saint-Maur-Ere,5,,,,,,,5
Tournai,Tournai,Templeuve,29,,,,,,,29
Tournai,Tournai,Tournai,170,,,,,,70,240
Tournai,Tournai,Vaulx,17,,,,,,,17
Tournai,Tournai,Vezon,10,,,,,,,10
Tournai,Tournai,Warchin,1,,,,,,7,8
Tournai,Tournai,Willemeau-Froidmont,14,,,,,,,14
Amay,Amay,Amay,,,,60,,,,60
Amay,Amay,Ampsin,,,,22,1,,,23
Amay,Amay,Flône,,,,3,,,,3
Amay,Amay,Jehay-Bodegnee,,,,13,,,,13
Amay,Amay,Ombret-Rawsa,,,,2,,,6,8
Amel,Amblève (Amel),Amel,,82,,,,,,82
Amel,Amblève (Amel),Heppenbach,,36,,,,,,36
Amel,Amblève (Amel),Meyerode,,16,,,,,,16
Ans,Ans,Alleur,,,,,90,,,90
Ans,Ans,Ans,,,,,69,32,,101
Ans,Ans,Loncin,,,,,25,7,,32
Ans,Ans,Xhendremael,,,,,12,,,12
Anthisnes,Anthisnes,Anthisnes,,,,,,,20,20
Anthisnes,Anthisnes,Hody,,,,,,,7,7
Anthisnes,Anthisnes,Tavier,,,,3,,,5,8
Anthisnes,Anthisnes,Villers-aux-Tours,,,,,,,6,6
Aubel,Aubel,Aubel,,97,,,,,,97
Awans,Awans,Awans,,,,,32,,,32
Awans,Awans,Fooz,,,,,4,,,4
Awans,Awans,Hognoul,,,,,14,,,14
Awans,Awans,Othee,,,,,11,,,11
Awans,Awans,Villers-l'Evêque,,,,,15,,,15
Aywaille,Aywaille,Aywaille,,,,,,,54,54
Aywaille,Aywaille,Ernonheid,,,,,,,5,5
Aywaille,Aywaille,Harzé,,,,,,,26,26
Aywaille,Aywaille,Sougné-Remouchamps,,,,,,,46,46
Baelen,Baelen,Baelen,,,,,,,43,43
Baelen,Baelen,Membach,,,,,,,19,19
Bassenge,Bassenge,Bassenge,,,,,,11,,11
Bassenge,Bassenge,Boirs,,,,,4,4,,8
Bassenge,Bassenge,Eben-Emael,,8,,,,,,8
Bassenge,Bassenge,Glons,,,,,9,,,9
Bassenge,Bassenge,Roclenge-Sur-Geer,,,,,,9,,9
Bassenge,Bassenge,Wonck,,4,,,1,,,5
Berloz,Berloz,Berloz,,,,,10,,,10
Berloz,Berloz,Corswarem,,,,,7,,1,8
Berloz,Berloz,Rosoux-Crenwick,,,,,10,,,10
Beyne-Heusay,Beyne-Heusay,Bellaire,,1,,,,,4,5
Beyne-Heusay,Beyne-Heusay,Beyne-Heusay,,,,,,31,1,32
Beyne-Heusay,Beyne-Heusay,Queue-du-Bois,,,,,,7,4,11
Blégny,Blégny,Barchon,,32,,,,,,32
Blégny,Blégny,Housse,,9,,,,,,9
Blégny,Blégny,Mortier,,4,,,,2,,6
Blégny,Blégny,Saint-Remy,,9,,,,,,9
Blégny,Blégny,Saive,,28,,,,,4,32
Blégny,Blégny,Trembleur,,26,,,,2,,28
Braives,Braives,Avennes,,,,,7,,,7
Braives,Braives,Braives,,,,,12,,,12
Braives,Braives,Ciplet,,,,,8,,,8
Braives,Braives,Fallais,,,,,8,,,8
Braives,Braives,Fumal,,,,,8,,,8
Braives,Braives,Latinne,,,,,6,,,6
Braives,Braives,Tourinne,,,,,2,,,2
Braives,Braives,Ville-en-Hesbaye,,,,,7,,,7
Büllingen,Bullange (Büllingen),Büllingen,,10,,,,,52,62
Büllingen,Bullange (Büllingen),Manderfeld,,29,,,,,6,35
Büllingen,Bullange (Büllingen),Rocherath,,,,,,,26,26
Burdinne,Burdinne,Burdinne,,,,6,,,,6
Burdinne,Burdinne,Hanneche,,,,4,,,,4
Burdinne,Burdinne,Lamontzée,,,,1,,,,1
Burdinne,Burdinne,Marneffe,,,,9,1,,,10
Burdinne,Burdinne,Oteppe,,,,10,,,,10
Burg-Reuland,Burg-Reuland,Burg-Reuland,,51,,,,,,51
Burg-Reuland,Burg-Reuland,Thommen,,47,,,,,,47
Bütgenbach,Butgenbach (Bütgenbach),Bütgenbach,,,,,,,66,66
Bütgenbach,Butgenbach (Bütgenbach),Elsenborn,,,,,,,30,30
Chaudfontaine,Chaudfontaine,Beaufays,,,,,,28,7,35
Chaudfontaine,Chaudfontaine,Chaudfontaine,,,,,,26,,26
Chaudfontaine,Chaudfontaine,Embourg,,,,,,52,2,54
Chaudfontaine,Chaudfontaine,Vaux-sous-Chèvremont,,,,,,31,2,33
Clavier,Clavier,Bois-et-Borsu,,,,,,,14,14
Clavier,Clavier,Clavier,,,,,,,46,46
Clavier,Clavier,Les Avins,,,,,,,27,27
Clavier,Clavier,Ocquier,,,,,,,11,11
Clavier,Clavier,Pailhe,,,,,,,15,15
Clavier,Clavier,Terwagne,,,,,,,8,8
Comblain-au-Pont,Comblain-au-Pont,Comblain-au-Pont,,,,,,,31,31
Comblain-au-Pont,Comblain-au-Pont,Poulseur,,,,,,,17,17
Crisnée,Crisnée,Crisnée,,,,,33,,,33
Dalhem,Dalhem,Berneau,,10,,,,,,10
Dalhem,Dalhem,Bombaye,,11,,,,,,11
Dalhem,Dalhem,Dalhem,,18,,,,,,18
Dalhem,Dalhem,Feneur,,2,,,,,,2
Dalhem,Dalhem,Mortroux,,9,,,,,,9
Dalhem,Dalhem,Neufchâteau,,20,,,,,,20
Dalhem,Dalhem,Saint-André,,13,,,,,,13
Dalhem,Dalhem,Warsage,,27,,,,,,27
Dison,Dison,Andrimont,,39,,,,,8,47
Dison,Dison,Dison,,,,,,,3,3
Donceel,Donceel,Donceel,,,,,1,,,1
Donceel,Donceel,Haneffe,,,,,10,,,10
Donceel,Donceel,Jeneffe,,,,,6,,,6
Donceel,Donceel,Limont,,,,,4,,,4
Engis,Engis,Clermont-Sous-Huy,,,,18,,,2,20
Engis,Engis,Engihoul-Antinne Bois,,,,13,,,,13
Engis,Engis,Engis,,,,18,3,,,21
Engis,Engis,Hermalle-sous-Huy,,,,22,,,,22
Esneux,Esneux,Esneux,,,,3,,,64,67
Esneux,Esneux,Tilff,,,,,,5,42,47
Eupen,Eupen,Eupen,,,,,,,205,205
Eupen,Eupen,Kettenis,,,,,,,55,55
Faimes,Faimes,Aineffe,,,,,4,,,4
Faimes,Faimes,Borlez,,,,,2,,,2
Faimes,Faimes,Celles,,,,,14,,,14
Faimes,Faimes,Les Waleffes,,,,,7,,,7
Faimes,Faimes,Viemme,,,,,3,,,3
Ferrières,Ferrières,Ferrières,,,,38,,,,38
Ferrières,Ferrières,My,,,,13,,,,13
Ferrières,Ferrières,Vieuxville,,,,8,,,,8
Ferrières,Ferrières,Werbomont,,,,22,,,,22
Ferrières,Ferrières,Xhoris,,,,18,,,,18
Fexhe-le-Haut-Clocher,Fexhe-le-Haut-Clocher,Fexhe-le-Haut-Clocher,,,,,27,,,27
Flémalle,Flémalle,Awirs,,,,5,14,,,19
Flémalle,Flémalle,Flemalle-Haute et Grande,,,,,93,,,93
Flémalle,Flémalle,Ivoz-Ramet,,,,7,37,,,44
Flémalle,Flémalle,Mons,,,,,27,,,27
Fléron,Fléron,Fléron,,,,,,44,,44
Fléron,Fléron,Magnée,,,,,,12,,12
Fléron,Fléron,Retinne,,,,,,24,,24
Fléron,Fléron,Romsée,,,,,,19,1,20
Geer,Geer,Boëlhe,,,,,4,,,4
Geer,Geer,Darion,,,,,1,,,1
Geer,Geer,Geer,,,,,6,,,6
Geer,Geer,Hollogne-sur-Geer,,,,,12,,,12
Geer,Geer,Lens-Saint-Servais,,,,,4,,,4
Geer,Geer,Ligney,,,,,2,,,2
Geer,Geer,Omal,,,,,6,,,6
Grâce-Hollogne,Grâce-Hollogne,Bierset,,,,,15,,,15
Grâce-Hollogne,Grâce-Hollogne,Grâce-Berleur,,,,,74,1,,75
Grâce-Hollogne,Grâce-Hollogne,Hollogne-aux-Pierres,,,,,48,,,48
Grâce-Hollogne,Grâce-Hollogne,Horion-Hozemont,,,,,17,,,17
Grâce-Hollogne,Grâce-Hollogne,Mons-lez-Liège,,,,,14,,,14
Grâce-Hollogne,Grâce-Hollogne,Velroux,,,,,2,,,2
Hamoir,Hamoir,Comblain-Fairon,,,,31,,,,31
Hamoir,Hamoir,Filot,,,,8,,,,8
Hamoir,Hamoir,Hamoir,,,,28,,,,28
Hannut,Hannut,Abolens,,,,,1,,,1
Hannut,Hannut,Avernas-Le-Bauduin,,,,,10,,,10
Hannut,Hannut,Avin,,,,,8,,,8
Hannut,Hannut,Bertrée,,,,,5,,,5
Hannut,Hannut,Blehen,,,,,2,,,2
Hannut,Hannut,Cras-Avernas,,,,,8,,,8
Hannut,Hannut,Crehen,,,,,5,,,5
Hannut,Hannut,Grand-Hallet,,,,,11,,,11
Hannut,Hannut,Hannut,,,,,60,,,60
Hannut,Hannut,Lens-Saint-Remy,,,,,12,,,12
Hannut,Hannut,Merdorp,,,,,4,,,4
Hannut,Hannut,Moxhe,,,,,9,,,9
Hannut,Hannut,Poucet,,,,,4,,,4
Hannut,Hannut,Thisnes,,,,,9,,,9
Hannut,Hannut,Trognee,,,,,4,,,4
Hannut,Hannut,Villers-le-Peuplier,,,,,10,,,10
Héron,Héron,Couthuin,,,,18,,,,18
Héron,Héron,Héron,,,,15,,,,15
Héron,Héron,Lavoir,,,,6,,,,6
Héron,Héron,Waret-l'Evêque,,,,10,,,,10
Herstal,Herstal,Herstal,,3,,,,193,45,241
Herstal,Herstal,Liers,,,,,10,1,,11
Herstal,Herstal,Milmort,,,,,2,40,1,43
Herstal,Herstal,Vottem,,,,,13,29,1,43
Herve,Herve,Battice,,128,,,,,1,129
Herve,Herve,Bolland,,13,,,,2,,15
Herve,Herve,Chaineux,,20,,,,,15,35
Herve,Herve,Charneux,,40,,,,,,40
Herve,Herve,Grand-Rechain,,,,,,,25,25
Herve,Herve,Herve,,39,,,,,,39
Herve,Herve,Julémont,,11,,,,,,11
Herve,Herve,Xhendelesse,,6,,,,1,10,17
Huy,Huy,Ben-Ahin,,,,,,,39,39
Huy,Huy,Huy,,,,27,9,,71,107
Huy,Huy,Tihange,,,,24,,,19,43
Jalhay,Jalhay,Jalhay,,6,,,,,2,8
Jalhay,Jalhay,Sart-lez-Spa,,32,,,,,,32
Juprelle,Juprelle,Fexhe-Slins,,,,,9,5,,14
Juprelle,Juprelle,Juprelle,,,,,9,,,9
Juprelle,Juprelle,Lantin,,,,,10,,,10
Juprelle,Juprelle,Paifve,,,,,,,,0
Juprelle,Juprelle,Slins,,,,,5,,,5
Juprelle,Juprelle,Villers-Saint-Siméon,,,,,3,,,3
Juprelle,Juprelle,Voroux-lez-Liers,,,,,7,,,7
Juprelle,Juprelle,Wihogne,,,,,7,,,7
Kelmis,La Calamine (Kelmis),Hergenrath,,26,,,,,4,30
Kelmis,La Calamine (Kelmis),Kelmis,,33,,,,,,33
Kelmis,La Calamine (Kelmis),Neu-Moresnet,,24,,,,,,24
Liège,Liège,Angleur,,,,,,61,67,128
Liège,Liège,Bressoux,,,,,,2,40,42
Liège,Liège,Chênée,,,,,,59,,59
Liège,Liège,Glain,,,,,2,6,,8
Liège,Liège,Grivegnée,,,,,,77,10,87
Liège,Liège,Jupille-sur-Meuse,,,,,,12,35,47
Liège,Liège,Liège(Meuse Nord),,,,,1,14,495,510
Liège,Liège,Liège(Meuse Sud),,,,,,2,229,231
Liège,Liège,Rocourt,,,,,58,,,58
Liège,Liège,Sclessin,,,,,,55,,55
Liège,Liège,Tonne,,,,,4,3,1,8
Liège,Liège,Wandre,,37,,,,7,15,59
Lierneux,Lierneux,Arbrefontaine,,7,,,,,,7
Lierneux,Lierneux,Bra,,25,,,,,,25
Lierneux,Lierneux,Lierneux,,55,,,,,,55
Limbourg,Limbourg,Bilstain,,,,,,,24,24
Limbourg,Limbourg,Goé,,,,,,,22,22
Limbourg,Limbourg,Limbourg,,,,,,,27,27
Lincent,Lincent,Lincent,,12,,,,,,12
Lincent,Lincent,Pellaines,,3,,,,,,3
Lincent,Lincent,Racour,,10,,,,,,10
Lontzen,Lontzen,Lontzen,,56,,,,,15,71
Lontzen,Lontzen,Walhorn,,,,,,,45,45
Malmedy,Malmedy,Bellevaux-Ligneuville,,5,,,,,43,48
Malmedy,Malmedy,Bevercé,,1,,,,,92,93
Malmedy,Malmedy,Malmedy,,,,,,,86,86
Marchin,Marchin,Marchin,,,,,,,48,48
Marchin,Marchin,Vyle-et-Tharoul,,,,,,,6,6
Modave,Modave,Modave,,,,,,,13,13
Modave,Modave,Outrelouxhe,,,,,,,4,4
Modave,Modave,Strée,,,,,,,13,13
Modave,Modave,Vierset-Barse,,,,,,,19,19
Nandrin,Nandrin,Nandrin,,,,21,,,4,25
Nandrin,Nandrin,Saint-Séverin,,,,11,,,,11
Nandrin,Nandrin,Villers-le-Temple,,,,,,,17,17
Nandrin,Nandrin,Yernee-Fraineux,,,,2,,,10,12
Neupré,Neupré,Ehein,,,,2,,,,2
Neupré,Neupré,Neuville-en-Condroz,,,,27,1,,,28
Neupré,Neupré,Plainevaux,,,,19,,,2,21
Neupré,Neupré,Rotheux-Rimière,,,,18,,,,18
Olne,Olne,Olne,,,,,,34,,34
Oreye,Oreye,Oreye,,,,,34,,,34
Ouffet,Ouffet,Ellemelle,,,,,,,2,2
Ouffet,Ouffet,Ouffet,,,,2,,,63,65
Ouffet,Ouffet,Warzée,,,,,,,5,5
Oupeye,Oupeye,Haccourt,,20,,,,1,,21
Oupeye,Oupeye,Hermalle-sous-Argenteau,,27,,,,,,27
Oupeye,Oupeye,Hermée,,,,,,19,,19
Oupeye,Oupeye,Heure-le-Romain,,5,,,,9,,14
Oupeye,Oupeye,Houtain-Saint-Siméon,,,,,,13,,13
Oupeye,Oupeye,Oupeye,,,,,,28,,28
Oupeye,Oupeye,Vivegnis,,7,,,,12,,19
Pepinster,Pepinster,Pepinster,,51,,,,,2,53
Pepinster,Pepinster,Soiron,,9,,,,,,9
Pepinster,Pepinster,Wegnez,,21,,,,,,21
Plombières,Plombières,Gemmenich,,58,,,,,,58
Plombières,Plombières,Hombourg,,35,,,,,,35
Plombières,Plombières,Montzen,,46,,,,,,46
Plombières,Plombières,Moresnet,,28,,,,,,28
Plombières,Plombières,Sippenaeken,,7,,,,,,7
Raeren,Raeren,Eynatten,,,,,,,61,61
Raeren,Raeren,Hauset,,,,,,,26,26
Raeren,Raeren,Raeren,,,,,,,67,67
Remicourt,Remicourt,Hodeige,,,,,6,,,6
Remicourt,Remicourt,Lamine,,,,,4,,,4
Remicourt,Remicourt,Momalle,,,,,14,,,14
Remicourt,Remicourt,Pousset,,,,,6,,,6
Remicourt,Remicourt,Remicourt,,,,,18,,,18
Saint-Georges-sur-Meuse,Saint-Georges-sur-Meuse,Saint-Georges-sur-Meuse,,,,27,38,,,65
Saint-Nicolas,Saint-Nicolas,Montegnée,,,,,16,14,,30
Saint-Nicolas,Saint-Nicolas,Saint-Nicolas,,,,,,19,2,21
Saint-Nicolas,Saint-Nicolas,Tilleur,,,,,,12,,12
Sankt Vith,Saint-Vith (Sankt Vith),Crombach,,57,,,,,,57
Sankt Vith,Saint-Vith (Sankt Vith),Lommersweiler,,33,,,,,,33
Sankt Vith,Saint-Vith (Sankt Vith),Recht,,39,,,,,,39
Sankt Vith,Saint-Vith (Sankt Vith),Sankt Vith,,70,,,,,,70
Sankt Vith,Saint-Vith (Sankt Vith),Schönberg,,15,,,,,,15
Seraing,Seraing,Boncelles,,,,,,,34,34
